timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-02-06T13:22:34,codecarbon,a089f182-d97a-48c2-be7b-17602ac3245a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0210486000005403,1.6786561532081517e-07,7.97514396760383e-06,42.5,0.0,5.899106025695801,2.247246527828237e-07,0,1.0565462756954786e-08,2.352901155397785e-07,India,IND,maharashtra,,,Windows-11-10.0.22631-SP0,3.12.2,2.8.3,12,12th Gen Intel(R) Core(TM) i7-1255U,,,73.8502,18.5211,15.730949401855469,machine,N,1.0
2025-02-07T11:35:43,codecarbon,3ad0d115-090e-4fbc-bde8-4406318121e9,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0121260000000233,9.64950005721598e-08,7.95769425795593e-06,42.5,0.0,5.899106025695801,1.2974187500031718e-07,0,5.511075940489164e-09,1.3525295094080633e-07,India,IND,maharashtra,,,Windows-11-10.0.22631-SP0,3.12.2,2.8.3,12,12th Gen Intel(R) Core(TM) i7-1255U,,,73.8502,18.5211,15.730949401855469,machine,N,1.0
2025-02-07T20:05:33,codecarbon,b6e3a5f2-c4ee-41cd-a96e-f944a2c9059d,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0446396999977878,4.031417173152192e-07,9.03101314155779e-06,42.5,0.0,5.899106025695801,5.181741666774543e-07,0,4.6892485386583455e-08,5.650666520640378e-07,India,IND,maharashtra,,,Windows-11-10.0.22631-SP0,3.12.2,2.8.3,12,12th Gen Intel(R) Core(TM) i7-1255U,,,73.8502,18.5211,15.730949401855469,machine,N,1.0
2025-02-07T20:14:24,codecarbon,07965fd6-6fa7-4df8-896c-727aa9dc759b,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0145948000026692,1.2210413628526932e-07,8.366276774120777e-06,42.5,0.0,5.899106025695801,1.6467097223085148e-07,0,6.4772184187878385e-09,1.7114819064963932e-07,India,IND,maharashtra,,,Windows-11-10.0.22631-SP0,3.12.2,2.8.3,12,12th Gen Intel(R) Core(TM) i7-1255U,,,73.8502,18.5211,15.730949401855469,machine,N,1.0
2025-02-08T10:14:52,codecarbon,60055dd9-ec5f-41ec-ac15-0b5ed77f295b,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0170038999931421,1.4090152872274164e-07,8.286424219124377e-06,42.5,0.0,5.899106025695801,1.914931943853541e-07,0,6.002504239678169e-09,1.974956986250323e-07,India,IND,,,,Windows-11-10.0.22631-SP0,3.12.2,2.8.3,12,12th Gen Intel(R) Core(TM) i7-1255U,,,79.0011,21.9974,15.730949401855469,machine,N,1.0
2025-02-08T10:33:05,codecarbon,f2ed9a96-cb51-4752-bd1a-6e7179581ca9,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0194262000004528,1.54878874719303e-07,7.972679922768882e-06,42.5,0.0,5.899106025695801,2.1071972236717964e-07,0,6.3674295056492925e-09,2.1708715187282895e-07,India,IND,,,,Windows-11-10.0.22631-SP0,3.12.2,2.8.3,12,12th Gen Intel(R) Core(TM) i7-1255U,,,79.0011,21.9974,15.730949401855469,machine,N,1.0
2025-02-08T11:08:03,codecarbon,beb5b1a5-4de3-4842-bf12-1d784afb228c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0148773000000232,1.3062028836083826e-07,8.779838301347266e-06,42.5,0.0,5.899106025695801,1.6928576388895386e-07,0,1.379915604253068e-08,1.830849199314845e-07,India,IND,,,,Windows-11-10.0.22631-SP0,3.12.2,2.8.3,12,12th Gen Intel(R) Core(TM) i7-1255U,,,79.0011,21.9974,15.730949401855469,machine,N,1.0
2025-02-12T10:33:13,codecarbon,efcce874-2a8d-4f5c-89a1-a9f8eb5f5286,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0199651999864727,3.026735865532921e-08,1.516005783855741e-06,7.5,0.0,2.2195773124694824,3.940541658569903e-08,0,3.019056713885956e-09,4.242447329958499e-08,India,IND,maharashtra,,,Windows-10-10.0.22631-SP0,3.11.2,2.7.1,8,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,,,73.8502,18.5211,5.918872833251953,machine,N,1.0
2025-02-22T13:59:14,codecarbon,f9687b56-7a5b-4ae2-83ae-ca13ddd451e7,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0578482000273652,9.872294663141869e-08,1.706586317028318e-06,7.5,0.0,2.2195773124694824,1.1735458332016909e-07,0,2.1021185147607064e-08,1.3837576846777614e-07,India,IND,,,,Windows-10-10.0.22631-SP0,3.11.3,2.8.3,8,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,,,79.0011,21.9974,5.918872833251953,machine,N,1.0
2025-02-22T14:11:30,codecarbon,c6cf2734-6130-4cd7-bd47-8a0dc1a2a46b,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0300235000322572,1.7047483893420858e-10,5.678046821691348e-09,7.5,0.0,2.2195773124694824,6.092270838659413e-08,0,1.0789180357900429e-08,7.171188874449454e-08,Canada,CAN,quebec,,,Windows-10-10.0.22631-SP0,3.11.3,2.8.3,8,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,,,-71.2,46.8,5.918872833251953,machine,N,1.0
2025-02-22T14:13:42,codecarbon,53410de1-e259-45f5-b6de-5d7d8f8eb3ff,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0316508000250905,5.425474757767625e-08,1.7141667046225317e-06,7.5,0.0,2.2195773124694824,6.449916666800468e-08,0,1.154741262541448e-08,7.604657929341916e-08,India,IND,,,,Windows-10-10.0.22631-SP0,3.11.3,2.8.3,8,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,,,79.0011,21.9974,5.918872833251953,machine,N,1.0
2025-02-22T14:17:23,codecarbon,91c1cde4-c7db-4c5a-8005-e02fdb2e7c25,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0323304000194184,5.559363756082584e-08,1.7195468514906996e-06,7.5,0.0,2.2195773124694824,6.599270830823419e-08,0,1.19305363060028e-08,7.792324461423698e-08,India,IND,,,,Windows-10-10.0.22631-SP0,3.11.3,2.8.3,8,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,,,79.0011,21.9974,5.918872833251953,machine,N,1.0
2025-02-22T14:25:20,codecarbon,02f6d304-7a36-41a8-acba-6b246ed7ecc3,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0287410999881103,4.85439772135997e-08,1.6890090230951983e-06,7.5,0.0,2.2195773124694824,5.830770836231144e-08,0,9.734326246856954e-09,6.80420346091684e-08,India,IND,,,,Windows-10-10.0.22631-SP0,3.11.3,2.8.3,8,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,,,79.0011,21.9974,5.918872833251953,machine,N,1.0
2025-02-22T14:37:29,codecarbon,74152a66-92fe-4316-987a-467d4af8d78f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0327416000072844,5.5738011416985366e-08,1.7023606483673565e-06,7.5,0.0,2.2195773124694824,6.653312496685733e-08,0,1.1592482360147097e-08,7.812560732700445e-08,India,IND,,,,Windows-10-10.0.22631-SP0,3.11.3,2.8.3,8,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,,,79.0011,21.9974,5.918872833251953,machine,N,1.0
2025-02-22T14:44:48,codecarbon,e306368d-56e4-48fc-b6eb-54e96f04f52c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0308885999838821,5.2766647399598144e-08,1.708288735233454e-06,7.5,0.0,2.2195773124694824,6.287583334293839e-08,0,1.1084939025902408e-08,7.396077236884079e-08,India,IND,,,,Windows-10-10.0.22631-SP0,3.11.3,2.8.3,8,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,,,79.0011,21.9974,5.918872833251953,machine,N,1.0
2025-02-22T14:50:12,codecarbon,958c9040-8319-460e-8a5a-694c798c4c6f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0312865999876521,5.318087337742135e-08,1.6997971463313426e-06,7.5,0.0,2.2195773124694824,6.301708332709192e-08,0,1.1524292031797405e-08,7.45413753588893e-08,India,IND,,,,Windows-10-10.0.22631-SP0,3.11.3,2.8.3,8,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,,,79.0011,21.9974,5.918872833251953,machine,N,1.0
2025-02-22T15:25:22,codecarbon,f5e966c3-a646-4f37-af82-b22113dc66f0,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0360701999743469,6.371568355892255e-08,1.7664355507936493e-06,7.5,0.0,2.2195773124694824,7.377583327373336e-08,0,1.553173884354414e-08,8.930757211727747e-08,India,IND,,,,Windows-10-10.0.22631-SP0,3.11.3,2.8.3,8,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,,,79.0011,21.9974,5.918872833251953,machine,N,1.0
2025-02-22T15:28:10,codecarbon,f8f90065-c5b6-42be-b917-1043a6452bf7,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0325994999730028,5.5827531382540654e-08,1.712527229827882e-06,7.5,0.0,2.2195773124694824,6.648208327533213e-08,0,1.1769000391769481e-08,7.82510836671016e-08,India,IND,,,,Windows-10-10.0.22631-SP0,3.11.3,2.8.3,8,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,,,79.0011,21.9974,5.918872833251953,machine,N,1.0
2025-02-22T15:33:31,codecarbon,5d07d39a-873f-4aaa-af83-bcaf6b43c584,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0289199999533593,4.872821064766899e-08,1.684931214600804e-06,7.5,0.0,2.2195773124694824,5.860416664897154e-08,0,9.696100153285397e-09,6.830026680225694e-08,India,IND,,,,Windows-10-10.0.22631-SP0,3.11.3,2.8.3,8,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,,,79.0011,21.9974,5.918872833251953,machine,N,1.0
2025-02-22T15:41:19,codecarbon,57aa3c00-97d9-4f2f-8468-5ec7af7a0ffe,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0161412999732419,2.4490208414553465e-08,1.5172389123027118e-06,7.5,0.0,2.2195773124694824,3.194749988324476e-08,0,2.379386873408509e-09,3.4326886756653265e-08,India,IND,,,,Windows-10-10.0.22631-SP0,3.11.3,2.8.3,8,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,,,79.0011,21.9974,5.918872833251953,machine,N,1.0
2025-02-22T15:50:05,codecarbon,59f73400-f409-41b8-9c38-934d966d24c9,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0155589000205509,2.3714280451303164e-08,1.5241617607915863e-06,7.5,0.0,2.2195773124694824,3.1014791723767604e-08,0,2.2245097059275797e-09,3.3239301429695186e-08,India,IND,,,,Windows-10-10.0.22631-SP0,3.11.3,2.8.3,8,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,,,79.0011,21.9974,5.918872833251953,machine,N,1.0
2025-02-22T15:58:22,codecarbon,be8e2820-98d1-4d1d-b5a1-76971421e5d8,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0315347000141628,5.3266048178427726e-08,1.689124937117048e-06,7.5,0.0,2.2195773124694824,6.38060417259112e-08,0,1.0854719540160861e-08,7.466076126607207e-08,India,IND,,,,Windows-10-10.0.22631-SP0,3.11.3,2.8.3,8,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,,,79.0011,21.9974,5.918872833251953,machine,N,1.0
2025-02-22T16:06:05,codecarbon,688c14b3-c998-4d1a-814c-16ed393e7e65,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0152377000000001,2.29137470689754e-08,1.503753655011924e-06,7.5,0.0,2.2195773124694824,2.965479166666304e-08,0,2.462436063416104e-09,3.2117227730079136e-08,India,IND,,,,Windows-10-10.0.22631-SP0,3.11.3,2.8.3,8,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,,,79.0011,21.9974,5.918872833251953,machine,N,1.0
2025-02-22T16:09:37,codecarbon,857d0602-6dfa-40e5-8459-22f0370aea4e,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0293779000000427,5.063729194496241e-08,1.7236525396603844e-06,7.5,0.0,2.2195773124694824,5.97831250000051e-08,0,1.1193020112151916e-08,7.0976145112157e-08,India,IND,,,,Windows-10-10.0.22631-SP0,3.11.3,2.8.3,8,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,,,79.0011,21.9974,5.918872833251953,machine,N,1.0
2025-02-22T16:15:14,codecarbon,f8f5392c-1f89-418b-b9fa-51e93a1b946f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0170153000000254,2.5430606899996443e-08,1.4945729372951603e-06,7.5,0.0,2.2195773124694824,3.29412499998701e-08,0,2.703753441194322e-09,3.5645003441064426e-08,India,IND,,,,Windows-10-10.0.22631-SP0,3.11.3,2.8.3,8,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,,,79.0011,21.9974,5.918872833251953,machine,N,1.0
2025-02-22T16:37:57,codecarbon,75a27d32-b892-4c81-bb28-cec0e3d7791b,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0263177000001633,3.97911977806496e-08,1.511955747668021e-06,7.5,0.0,2.2195773124694824,5.1571666666442684e-08,0,4.201968126973459e-09,5.5773634793416135e-08,India,IND,,,,Windows-10-10.0.22631-SP0,3.11.3,2.8.3,8,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,,,79.0011,21.9974,5.918872833251953,machine,N,1.0
2025-02-22T17:02:55,codecarbon,da7e3782-adbf-4950-ace7-1702823b8a56,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.03060009999990143,4.5520121222386716e-08,1.487580799491941e-06,7.5,0.0,2.2195773124694824,5.975437499993556e-08,0,4.0492488770027034e-09,6.380362387693827e-08,India,IND,,,,Windows-10-10.0.22631-SP0,3.11.3,2.8.3,8,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,,,79.0011,21.9974,5.918872833251953,machine,N,1.0
